customer_id,first_name,last_name,email,country,kyc_status,created_at
CUST-0108,First108,Last108,customer108@example.com,UK,verified,2022-11-06
CUST-0109,First109,Last109,customer109@example.com,US,verified,2020-05-20
CUST-0110,First110,Last110,customer110@example.com,JP,verified,2023-10-14
CUST-0111,First111,Last111,customer111@example.com,UK,pending,2020-09-02
CUST-0112,First112,Last112,customer112@example.com,JP,verified,2023-03-31
CUST-0113,First113,Last113,customer113@example.com,JP,verified,2023-06-22
CUST-0114,First114,Last114,customer114@example.com,US,pending,2023-09-08
CUST-0115,First115,Last115,customer115@example.com,JP,expired,2022-12-06
CUST-0116,First116,Last116,customer116@example.com,DE,pending,2021-02-22
CUST-0117,First117,Last117,customer117@example.com,DE,verified,2021-06-27
CUST-0118,First118,Last118,customer118@example.com,FR,verified,2023-10-07
CUST-0119,First119,Last119,customer119@example.com,DE,pending,2021-10-09
CUST-0120,First120,Last120,customer120@example.com,US,verified,2022-07-27
CUST-0121,First121,Last121,customer121@example.com,JP,expired,2020-07-23
CUST-0122,First122,Last122,customer122@example.com,US,expired,2021-03-12
CUST-0123,First123,Last123,customer123@example.com,JP,pending,2020-09-28
CUST-0124,First124,Last124,customer124@example.com,DE,verified,2021-05-15
CUST-0125,First125,Last125,customer125@example.com,DE,pending,2020-11-19
CUST-0126,First126,Last126,customer126@example.com,FR,expired,2023-12-11
CUST-0127,First127,Last127,customer127@example.com,DE,expired,2023-09-01
CUST-0128,First128,Last128,customer128@example.com,JP,verified,2023-09-29
CUST-0129,First129,Last129,customer129@example.com,JP,pending,2023-09-20
CUST-0130,First130,Last130,customer130@example.com,US,verified,2021-06-25
CUST-0131,First131,Last131,customer131@example.com,US,verified,2023-02-07
CUST-0132,First132,Last132,customer132@example.com,UK,pending,2021-07-31
CUST-0133,First133,Last133,customer133@example.com,JP,verified,2021-12-03
CUST-0134,First134,Last134,customer134@example.com,UK,expired,2023-07-22
CUST-0135,First135,Last135,customer135@example.com,DE,expired,2022-09-27
CUST-0136,First136,Last136,customer136@example.com,DE,verified,2020-07-08
CUST-0137,First137,Last137,customer137@example.com,FR,pending,2020-03-31
CUST-0138,First138,Last138,customer138@example.com,US,pending,2020-09-24
CUST-0139,First139,Last139,customer139@example.com,DE,verified,2022-06-23
CUST-0140,First140,Last140,customer140@example.com,JP,expired,2022-05-25
CUST-0141,First141,Last141,customer141@example.com,JP,verified,2020-08-17
CUST-0142,First142,Last142,customer142@example.com,US,expired,2020-11-01
CUST-0143,First143,Last143,customer143@example.com,JP,verified,2022-01-26
CUST-0144,First144,Last144,customer144@example.com,JP,expired,2020-10-30
CUST-0145,First145,Last145,customer145@example.com,FR,verified,2020-03-26
CUST-0146,First146,Last146,customer146@example.com,DE,pending,2020-03-22
CUST-0147,First147,Last147,customer147@example.com,DE,verified,2023-10-28
CUST-0148,First148,Last148,customer148@example.com,UK,expired,2020-07-29
CUST-0149,First149,Last149,customer149@example.com,DE,expired,2022-04-12
CUST-0150,First150,Last150,customer150@example.com,JP,expired,2020-11-12
CUST-0151,First151,Last151,customer151@example.com,UK,verified,2020-12-28
CUST-0152,First152,Last152,customer152@example.com,FR,verified,2021-01-02
CUST-0153,First153,Last153,customer153@example.com,DE,pending,2023-10-03
CUST-0154,First154,Last154,customer154@example.com,UK,pending,2020-11-22
CUST-0155,First155,Last155,customer155@example.com,US,pending,2020-03-20
CUST-0156,First156,Last156,customer156@example.com,FR,verified,2021-02-12
CUST-0157,First157,Last157,customer157@example.com,FR,pending,2021-09-17
CUST-0158,First158,Last158,customer158@example.com,UK,verified,2020-02-18
CUST-0159,First159,Last159,customer159@example.com,UK,pending,2021-11-03
CUST-0160,First160,Last160,customer160@example.com,DE,verified,2021-07-25
CUST-0161,First161,Last161,customer161@example.com,DE,expired,2022-11-09
CUST-0162,First162,Last162,customer162@example.com,FR,expired,2023-01-03
CUST-0163,First163,Last163,customer163@example.com,DE,verified,2020-08-24
CUST-0164,First164,Last164,customer164@example.com,DE,verified,2023-04-04
CUST-0165,First165,Last165,customer165@example.com,DE,verified,2020-08-10
CUST-0166,First166,Last166,customer166@example.com,JP,pending,2021-12-08
CUST-0167,First167,Last167,customer167@example.com,DE,pending,2023-05-26
CUST-0168,First168,Last168,customer168@example.com,JP,verified,2022-02-27
CUST-0169,First169,Last169,customer169@example.com,JP,verified,2021-06-05
CUST-0170,First170,Last170,customer170@example.com,US,expired,2022-06-12
CUST-0171,First171,Last171,customer171@example.com,US,expired,2023-01-07
CUST-0172,First172,Last172,customer172@example.com,UK,pending,2022-06-02
CUST-0173,First173,Last173,customer173@example.com,US,expired,2021-11-07
CUST-0174,First174,Last174,customer174@example.com,JP,pending,2023-09-20
CUST-0175,First175,Last175,customer175@example.com,US,expired,2021-09-07
CUST-0176,First176,Last176,customer176@example.com,JP,pending,2023-09-27
CUST-0177,First177,Last177,customer177@example.com,FR,pending,2022-04-04
CUST-0178,First178,Last178,customer178@example.com,DE,expired,2020-09-17
CUST-0179,First179,Last179,customer179@example.com,UK,pending,2023-09-23
CUST-0180,First180,Last180,customer180@example.com,FR,expired,2020-12-22
CUST-0181,First181,Last181,customer181@example.com,JP,expired,2021-09-08
CUST-0182,First182,Last182,customer182@example.com,FR,expired,2020-01-01
CUST-0183,First183,Last183,customer183@example.com,DE,pending,2021-03-06
CUST-0184,First184,Last184,customer184@example.com,FR,expired,2023-05-27
CUST-0185,First185,Last185,customer185@example.com,DE,pending,2022-06-23
CUST-0186,First186,Last186,customer186@example.com,FR,expired,2021-03-13
CUST-0187,First187,Last187,customer187@example.com,JP,pending,2020-12-13
CUST-0188,First188,Last188,customer188@example.com,US,pending,2022-11-21
CUST-0189,First189,Last189,customer189@example.com,JP,pending,2020-07-10
CUST-0190,First190,Last190,customer190@example.com,UK,expired,2021-09-27
CUST-0191,First191,Last191,customer191@example.com,UK,verified,2020-10-28
CUST-0192,First192,Last192,customer192@example.com,US,verified,2021-05-16
CUST-0193,First193,Last193,customer193@example.com,FR,expired,2020-05-29
CUST-0194,First194,Last194,customer194@example.com,FR,pending,2023-07-13
CUST-0195,First195,Last195,customer195@example.com,JP,verified,2023-11-27
CUST-0196,First196,Last196,customer196@example.com,FR,pending,2022-03-29
CUST-0197,First197,Last197,customer197@example.com,UK,verified,2023-09-05
CUST-0198,First198,Last198,customer198@example.com,US,verified,2022-05-20
CUST-0199,First199,Last199,customer199@example.com,UK,verified,2023-11-26
CUST-0200,First200,Last200,customer200@example.com,JP,pending,2020-04-12
